1990, 1, 1, 3, 1.704730
1990, 1, 2, 3, 1.826780
1990, 1, 3, 3, 1.942430
1990, 1, 4, 3, 1.981970
1990, 1, 5, 3, 2.020810
1990, 1, 6, 3, 2.045710
1990, 1, 7, 3, 1.758510
1990, 1, 8, 3, 1.549280
1990, 1, 9, 3, 1.248690
1990, 1, 10, 3, 1.442350
1990, 1, 11, 3, 1.763070
1990, 1, 12, 4, 1.866450
1990, 1, 13, 4, 2.423380
1990, 1, 14, 4, 2.566300
1990, 1, 15, 4, 2.499950
1990, 1, 16, 5, 2.711610
1990, 1, 17, 5, 2.608430
1990, 1, 18, 5, 2.438300
1990, 1, 19, 5, 1.951990
1990, 1, 20, 5, 1.917340
1990, 1, 21, 5, 2.056440
1990, 1, 22, 5, 1.868470
1990, 1, 23, 5, 1.931790
1990, 1, 24, 6, 2.099120
1990, 1, 25, 6, 1.994320
1990, 1, 26, 6, 2.155860
1990, 1, 27, 6, 2.408040
1990, 1, 28, 6, 2.357870
1990, 1, 29, 6, 2.227110
1990, 1, 30, 6, 2.031570
1990, 1, 31, 7, 1.778020
1990, 2, 1, 7, 1.700930
1990, 2, 2, 7, 1.677900
1990, 2, 3, 7, 1.758070
1990, 2, 4, 7, 1.788140
1990, 2, 5, 7, 1.710500
1990, 2, 6, 7, 1.649640
1990, 2, 7, 7, 1.603890
1990, 2, 8, 8, 1.529220
1990, 2, 9, 8, 1.580130
1990, 2, 10, 1, 1.710370
1990, 2, 11, 1, 1.588240
1990, 2, 12, 1, 1.405430
1990, 2, 13, 1, 1.236260
1990, 2, 14, 1, 1.447920
1990, 2, 15, 1, 1.521030
1990, 2, 16, 1, 1.738420
1990, 2, 17, 1, 1.668660
1990, 2, 18, 2, 1.424890
1990, 2, 19, 2, 1.300710
1990, 2, 20, 2, 1.165470
1990, 2, 21, 2, 1.051630
1990, 2, 22, 2, 1.058950
1990, 2, 23, 3, 1.299700
1990, 2, 24, 3, 1.409920
1990, 2, 25, 3, 1.613660
1990, 2, 26, 3, 1.890930
1990, 2, 27, 4, 2.060780
1990, 2, 28, 4, 2.040690
1990, 3, 1, 4, 2.040930
1990, 3, 2, 4, 2.263070
1990, 3, 3, 4, 2.703380
1990, 3, 4, 4, 3.023840
1990, 3, 5, 4, 3.022490
